fileName, processingTime, fitness
100.440.1373334538.cnf,0.0,428
100.440.142925087.cnf,0.0,427
100.440.145777343.cnf,0.0,423
100.440.176071722.cnf,0.0,424
100.440.223352132.cnf,0.0,423
100.440.263082781.cnf,0.0,426
100.440.276826985.cnf,0.0,430
100.440.279437772.cnf,0.0,424
100.440.281513920.cnf,0.0,419
100.440.295658976.cnf,0.0,428
100.440.307365877.cnf,0.015625,425
100.440.309266109.cnf,0.0,427
100.440.313322538.cnf,0.0,432
100.440.319437359.cnf,0.0,425
100.440.322562276.cnf,0.0,425
100.440.323252473.cnf,0.0,428
100.440.365145208.cnf,0.0,424
100.440.367330071.cnf,0.0,429
100.440.399054951.cnf,0.0,431
100.440.511157684.cnf,0.0,429
100.440.547408509.cnf,0.0,429
100.440.640374730.cnf,0.0,430
100.440.682901286.cnf,0.0,423
100.440.696662980.cnf,0.0,425
100.440.718644139.cnf,0.015625,428
100.440.733279005.cnf,0.0,425
100.440.740896193.cnf,0.0,429
100.440.767998326.cnf,0.0,428
100.440.788131367.cnf,0.0,428
100.440.789166541.cnf,0.0,428
100.440.803893564.cnf,0.0,428
100.440.810950830.cnf,0.0,428
100.440.811207404.cnf,0.0,427
100.440.814030407.cnf,0.0,429
100.440.822619456.cnf,0.0,425
100.440.892511122.cnf,0.0,430
100.440.911795405.cnf,0.0,428
100.440.971561465.cnf,0.0,426
100.450.1007582229.cnf,0.0,439
100.450.1043369226.cnf,0.0,434
100.450.1101475794.cnf,0.0,432
100.450.1128886329.cnf,0.0,439
100.450.1192161593.cnf,0.0,433
100.450.1207763422.cnf,0.0,440
100.450.1208596361.cnf,0.0,434
100.450.1241741466.cnf,0.0,436
100.450.1267817750.cnf,0.0,438
100.450.1268267724.cnf,0.0,437
100.450.1280531473.cnf,0.0,433
100.450.129152699.cnf,0.0,440
100.450.1367308746.cnf,0.0,429
100.450.159110324.cnf,0.015625,432
100.450.181773497.cnf,0.015625,440
